series,territory_code,destination,roles
A,13402,A,3
A,13402,B,3
A,13403,A,1
A,13403,B,5
A,13404,A,4
A,13404,B,13
A,13501,A,7
A,13501,B,32
A,13503,A,4
A,13503,B,1
A,13504,A,1
A,13504,B,1
A,13505,A,17
A,13505,B,1
A,13601,A,1
A,13601,B,2
A,13602,B,1
A,13603,A,1
A,13605,A,1
A,13605,B,3
A,14101,A,11
A,14103,A,12
A,14104,A,7
A,14104,B,4
A,14105,A,14
A,14106,A,1
A,14107,A,30
A,14108,A,2
A,14108,B,1
A,14201,A,6
A,14201,B,2
A,14203,A,2
A,14203,B,3
A,14204,A,2
A,15101,A,6
A,15101,B,1
A,16101,A,2
A,16102,A,1
A,16102,B,2
A,16104,A,1
A,16108,A,4
A,16204,A,1
A,16302,B,1
N,1101,C,852
N,1101,D,14
N,1101,E,18
N,1101,G,58
N,1101,I,19
N,1101,L,147
N,1101,M,2
N,1101,O,74
N,1101,P,11
N,1101,Q,24
N,1101,S,5
N,1101,T,5
N,1101,V,101
N,1101,Z,15
N,1107,C,140
N,1107,E,2
N,1107,G,2
N,1107,I,16
N,1107,L,24
N,1107,O,1
N,1107,P,1
N,1107,Q,7
N,1107,S,1
N,1107,T,1
N,1107,V,102
N,1107,Z,2
N,1401,C,64
N,1401,D,1
N,1401,E,5
N,1401,G,12
N,1401,I,4
N,1401,L,1
N,1401,M,4
N,1401,O,6
N,1401,P,3
N,1401,Q,2
N,1401,S,2
N,1401,V,25
N,1402,C,1
N,1402,E,8
N,1402,P,2
N,1402,Q,1
N,1403,E,4
N,1403,Q,1
N,1404,C,6
N,1404,E,4
N,1404,G,2
N,1404,I,1
N,1404,L,1
N,1404,Q,2
N,1404,V,5
N,1405,C,26
N,1405,D,1
N,1405,G,13
N,1405,M,3
N,1405,O,2
N,1405,P,1
N,1405,S,1
N,1405,V,12
N,2101,C,900
N,2101,D,6
N,2101,E,26
N,2101,G,25
N,2101,I,58
N,2101,L,40
N,2101,M,6
N,2101,O,72
N,2101,P,9
N,2101,Q,31
N,2101,S,6
N,2101,T,8
N,2101,V,71
N,2101,Z,41
N,2102,C,31
N,2102,D,1
N,2102,G,3
N,2102,I,2
N,2102,M,1
N,2102,O,2
N,2102,P,4
N,2102,Q,2
N,2102,T,2
N,2102,V,4
N,2103,C,5
N,2103,E,1
N,2103,G,1
N,2103,I,1
N,2103,M,6
N,2103,P,3
N,2103,Q,1
N,2103,T,1
N,2103,V,3
N,2104,C,43
N,2104,E,2
N,2104,G,1
N,2104,I,4
N,2104,L,1
N,2104,M,1
N,2104,O,4
N,2104,P,1
N,2104,Q,1
N,2104,T,1
N,2104,V,6
N,2201,C,464
N,2201,D,9
N,2201,E,14
N,2201,G,28
N,2201,I,18
N,2201,L,32
N,2201,M,2
N,2201,O,47
N,2201,P,3
N,2201,Q,17
N,2201,S,3
N,2201,T,2
N,2201,V,31
N,2201,Z,11
N,2202,M,1
N,2202,T,1
N,2202,V,1
N,2203,C,47
N,2203,E,1
N,2203,G,65
N,2203,M,3
N,2203,O,1
N,2203,P,2
N,2203,S,2
N,2203,V,3
N,2301,C,70
N,2301,D,2
N,2301,E,2
N,2301,G,1
N,2301,M,1
N,2301,O,9
N,2301,P,3
N,2301,Q,3
N,2301,V,4
N,2302,I,1
N,2302,M,1
N,2302,V,17
N,3101,C,313
N,3101,D,11
N,3101,E,17
N,3101,G,17
N,3101,I,44
N,3101,L,12
N,3101,M,1
N,3101,O,63
N,3101,P,3
N,3101,Q,26
N,3101,S,5
N,3101,T,4
N,3101,V,40
N,3101,Z,8
N,3102,C,89
N,3102,D,1
N,3102,E,2
N,3102,G,7
N,3102,I,15
N,3102,O,6
N,3102,P,2
N,3102,Q,3
N,3102,S,2
N,3102,T,1
N,3102,V,7
N,3103,C,53
N,3103,D,2
N,3103,E,3
N,3103,I,9
N,3103,L,2
N,3103,M,11
N,3103,O,1
N,3103,P,3
N,3103,Q,10
N,3103,V,15
N,3201,C,106
N,3201,D,1
N,3201,G,1
N,3201,I,6
N,3201,L,1
N,3201,O,7
N,3201,P,1
N,3201,Q,8
N,3201,T,3
N,3201,V,11
N,3202,C,134
N,3202,D,2
N,3202,E,3
N,3202,G,3
N,3202,I,10
N,3202,L,2
N,3202,M,2
N,3202,O,10
N,3202,P,1
N,3202,Q,9
N,3202,S,2
N,3202,T,5
N,3202,V,21
N,3301,C,233
N,3301,D,2
N,3301,E,9
N,3301,G,6
N,3301,I,13
N,3301,L,12
N,3301,M,1
N,3301,O,18
N,3301,Q,16
N,3301,S,2
N,3301,T,4
N,3301,V,11
N,3301,Z,3
N,3302,C,3
N,3302,E,8
N,3302,I,1
N,3302,M,1
N,3302,O,1
N,3302,P,1
N,3302,Q,1
N,3302,V,2
N,3303,C,23
N,3303,E,2
N,3303,I,3
N,3303,L,1
N,3303,M,1
N,3303,O,4
N,3303,Q,3
N,3303,V,2
N,3304,C,39
N,3304,D,1
N,3304,E,3
N,3304,G,3
N,3304,I,1
N,3304,L,1
N,3304,O,2
N,3304,Q,4
N,3304,T,2
N,3304,V,14
N,3304,Z,1
N,4101,C,408
N,4101,D,2
N,4101,E,48
N,4101,G,23
N,4101,I,13
N,4101,L,99
N,4101,O,90
N,4101,P,5
N,4101,Q,25
N,4101,S,12
N,4101,T,3
N,4101,V,73
N,4101,Z,4
N,4102,C,359
N,4102,D,2
N,4102,E,21
N,4102,G,22
N,4102,I,31
N,4102,L,161
N,4102,O,33
N,4102,P,3
N,4102,Q,14
N,4102,S,4
N,4102,T,3
N,4102,V,98
N,4102,Z,2
N,4103,C,43
N,4103,E,2
N,4103,G,1
N,4103,I,2
N,4103,M,4
N,4103,O,3
N,4103,Q,1
N,4103,S,1
N,4103,T,1
N,4103,V,4
N,4104,C,4
N,4104,E,4
N,4104,G,2
N,4104,I,1
N,4104,V,2
N,4105,C,7
N,4105,G,8
N,4105,I,2
N,4105,L,1
N,4105,Q,1
N,4105,S,1
N,4105,V,11
N,4106,C,34
N,4106,E,3
N,4106,G,10
N,4106,I,6
N,4106,L,5
N,4106,O,5
N,4106,P,1
N,4106,Q,3
N,4106,S,2
N,4106,V,14
N,4106,W,1
N,4201,C,79
N,4201,D,1
N,4201,E,3
N,4201,G,4
N,4201,I,4
N,4201,L,1
N,4201,O,14
N,4201,P,4
N,4201,Q,9
N,4201,V,12
N,4201,Z,1
N,4202,C,9
N,4202,D,1
N,4202,E,4
N,4202,P,1
N,4202,Q,3
N,4202,V,6
N,4203,C,96
N,4203,D,1
N,4203,E,2
N,4203,G,21
N,4203,I,5
N,4203,L,2
N,4203,O,6
N,4203,S,1
N,4203,T,1
N,4203,V,11
N,4204,C,127
N,4204,E,5
N,4204,G,7
N,4204,I,2
N,4204,L,4
N,4204,O,3
N,4204,Q,2
N,4204,T,1
N,4204,V,31
N,4204,Z,1
N,4301,C,227
N,4301,D,2
N,4301,E,13
N,4301,G,4
N,4301,I,9
N,4301,L,8
N,4301,O,12
N,4301,P,3
N,4301,Q,5
N,4301,S,1
N,4301,T,1
N,4301,V,42
N,4301,Z,3
N,4302,C,27
N,4302,E,6
N,4302,G,1
N,4302,I,1
N,4302,L,1
N,4302,O,7
N,4302,P,1
N,4302,Q,4
N,4302,S,3
N,4302,V,5
N,4303,C,21
N,4303,D,1
N,4303,E,7
N,4303,G,4
N,4303,I,7
N,4303,L,3
N,4303,O,4
N,4303,P,1
N,4303,Q,4
N,4303,S,3
N,4303,V,8
N,4304,C,7
N,4304,E,6
N,4304,G,2
N,4304,I,1
N,4304,L,1
N,4304,O,2
N,4304,P,5
N,4304,Q,2
N,4304,V,1
N,4305,C,6
N,4305,E,13
N,4305,G,6
N,4305,I,1
N,4305,M,1
N,4305,O,1
N,4305,S,1
N,4305,V,1
N,5101,C,808
N,5101,D,12
N,5101,E,32
N,5101,G,6
N,5101,I,47
N,5101,L,193
N,5101,O,52
N,5101,P,6
N,5101,Q,40
N,5101,S,4
N,5101,T,14
N,5101,V,49
N,5101,W,1
N,5101,Z,9
N,5102,C,99
N,5102,D,1
N,5102,E,7
N,5102,G,2
N,5102,I,13
N,5102,L,6
N,5102,O,6
N,5102,P,2
N,5102,Q,7
N,5102,S,2
N,5102,T,2
N,5102,V,25
N,5103,C,116
N,5103,D,1
N,5103,E,1
N,5103,G,3
N,5103,I,4
N,5103,L,8
N,5103,O,4
N,5103,P,1
N,5103,Q,6
N,5103,S,1
N,5103,T,1
N,5103,V,14
N,5103,Z,1
N,5104,P,1
N,5104,V,3
N,5105,C,86
N,5105,D,1
N,5105,E,8
N,5105,G,6
N,5105,I,2
N,5105,L,1
N,5105,O,1
N,5105,P,2
N,5105,Q,5
N,5105,T,1
N,5105,V,11
N,5107,C,140
N,5107,D,4
N,5107,E,4
N,5107,G,14
N,5107,I,6
N,5107,L,6
N,5107,O,11
N,5107,P,2
N,5107,Q,6
N,5107,V,8
N,5109,C,464
N,5109,D,15
N,5109,E,39
N,5109,G,13
N,5109,I,33
N,5109,L,58
N,5109,O,49
N,5109,P,5
N,5109,Q,44
N,5109,S,1
N,5109,T,7
N,5109,V,43
N,5109,W,2
N,5109,Z,15
N,5201,C,12
N,5201,E,2
N,5201,G,4
N,5201,L,1
N,5201,P,1
N,5201,Q,1
N,5201,V,1
N,5301,C,222
N,5301,D,3
N,5301,E,9
N,5301,G,6
N,5301,I,10
N,5301,L,4
N,5301,M,1
N,5301,O,25
N,5301,P,3
N,5301,Q,12
N,5301,S,2
N,5301,T,3
N,5301,V,60
N,5301,Z,3
N,5302,C,4
N,5302,D,1
N,5302,E,6
N,5302,O,1
N,5302,P,1
N,5302,Q,2
N,5302,T,2
N,5302,V,9
N,5303,C,11
N,5303,D,1
N,5303,G,1
N,5303,I,1
N,5303,L,1
N,5303,O,2
N,5303,Q,4
N,5303,V,5
N,5304,C,21
N,5304,D,1
N,5304,G,2
N,5304,I,3
N,5304,L,4
N,5304,O,1
N,5304,Q,3
N,5304,S,1
N,5304,V,7
N,5304,Z,1
N,5401,C,180
N,5401,E,6
N,5401,G,4
N,5401,I,15
N,5401,L,4
N,5401,M,2
N,5401,O,4
N,5401,P,3
N,5401,Q,7
N,5401,S,1
N,5401,V,16
N,5401,Z,3
N,5402,C,70
N,5402,E,6
N,5402,G,1
N,5402,I,4
N,5402,L,2
N,5402,M,1
N,5402,O,2
N,5402,P,2
N,5402,Q,4
N,5402,S,1
N,5402,V,5
N,5403,C,38
N,5403,E,1
N,5403,G,1
N,5403,I,2
N,5403,L,30
N,5403,P,1
N,5403,V,1
N,5404,C,21
N,5404,E,2
N,5404,G,2
N,5404,L,1
N,5404,M,1
N,5404,O,1
N,5404,P,3
N,5404,Q,1
N,5404,S,2
N,5404,T,1
N,5404,V,1
N,5405,C,50
N,5405,D,2
N,5405,E,1
N,5405,G,1
N,5405,I,1
N,5405,L,2
N,5405,P,2
N,5405,Q,2
N,5405,S,1
N,5405,V,3
N,5501,C,194
N,5501,D,4
N,5501,E,23
N,5501,G,5
N,5501,I,15
N,5501,L,5
N,5501,O,22
N,5501,P,4
N,5501,Q,18
N,5501,S,2
N,5501,T,1
N,5501,V,21
N,5501,Z,5
N,5502,C,178
N,5502,D,2
N,5502,E,7
N,5502,I,12
N,5502,L,8
N,5502,O,6
N,5502,P,2
N,5502,Q,8
N,5502,S,1
N,5502,V,8
N,5502,Z,1
N,5503,C,36
N,5503,D,1
N,5503,E,7
N,5503,I,7
N,5503,L,4
N,5503,P,1
N,5503,Q,3
N,5503,S,1
N,5503,T,1
N,5503,V,7
N,5504,C,25
N,5504,D,3
N,5504,E,4
N,5504,G,1
N,5504,I,7
N,5504,L,3
N,5504,P,1
N,5504,Q,1
N,5504,V,11
N,5506,C,30
N,5506,D,4
N,5506,E,2
N,5506,I,6
N,5506,L,1
N,5506,O,3
N,5506,P,3
N,5506,Q,5
N,5506,V,9
N,5601,C,369
N,5601,D,3
N,5601,E,28
N,5601,G,9
N,5601,I,13
N,5601,L,158
N,5601,O,42
N,5601,P,5
N,5601,Q,11
N,5601,S,4
N,5601,V,35
N,5601,Z,1
N,5602,C,89
N,5602,D,3
N,5602,G,4
N,5602,I,1
N,5602,L,8
N,5602,O,2
N,5602,P,1
N,5602,Q,2
N,5602,V,7
N,5602,Z,1
N,5603,C,160
N,5603,D,1
N,5603,E,3
N,5603,G,20
N,5603,I,2
N,5603,L,3
N,5603,O,1
N,5603,P,1
N,5603,Q,5
N,5603,T,2
N,5603,V,10
N,5604,C,117
N,5604,D,3
N,5604,E,2
N,5604,G,21
N,5604,L,3
N,5604,O,2
N,5604,P,1
N,5604,Q,3
N,5604,V,5
N,5605,C,46
N,5605,D,5
N,5605,E,7
N,5605,G,10
N,5605,L,22
N,5605,O,1
N,5605,P,1
N,5605,Q,6
N,5605,S,2
N,5605,V,6
N,5605,W,3
N,5606,C,12
N,5606,D,2
N,5606,E,1
N,5606,I,3
N,5606,L,1
N,5606,P,1
N,5606,Q,1
N,5606,V,3
N,5701,C,171
N,5701,D,2
N,5701,E,14
N,5701,G,2
N,5701,I,18
N,5701,L,8
N,5701,M,1
N,5701,O,14
N,5701,P,1
N,5701,Q,10
N,5701,S,3
N,5701,T,6
N,5701,V,24
N,5701,Z,3
N,5702,C,21
N,5702,D,1
N,5702,E,5
N,5702,I,3
N,5702,L,2
N,5702,M,1
N,5702,O,1
N,5702,Q,1
N,5702,T,1
N,5702,V,1
N,5703,C,61
N,5703,D,2
N,5703,E,6
N,5703,I,6
N,5703,L,3
N,5703,O,2
N,5703,P,2
N,5703,Q,6
N,5703,S,1
N,5703,T,2
N,5703,V,8
N,5704,C,7
N,5704,E,1
N,5704,I,1
N,5704,Q,1
N,5704,T,1
N,5704,V,10
N,5705,C,20
N,5705,D,1
N,5705,E,1
N,5705,G,1
N,5705,I,3
N,5705,L,1
N,5705,O,1
N,5705,P,3
N,5705,Q,2
N,5705,S,2
N,5705,V,14
N,5706,C,17
N,5706,E,3
N,5706,G,1
N,5706,I,4
N,5706,L,1
N,5706,Q,5
N,5706,T,1
N,5706,V,2
N,5801,C,237
N,5801,D,5
N,5801,E,31
N,5801,G,1
N,5801,I,31
N,5801,L,159
N,5801,O,21
N,5801,P,1
N,5801,Q,18
N,5801,S,3
N,5801,T,2
N,5801,V,22
N,5801,W,1
N,5802,C,139
N,5802,D,5
N,5802,E,14
N,5802,G,1
N,5802,I,6
N,5802,L,6
N,5802,O,11
N,5802,P,2
N,5802,Q,5
N,5802,S,1
N,5802,T,1
N,5802,V,20
N,5803,C,41
N,5803,D,2
N,5803,E,2
N,5803,G,15
N,5803,L,5
N,5803,P,1
N,5803,Q,2
N,5803,S,1
N,5803,T,1
N,5803,V,9
N,5804,C,198
N,5804,D,5
N,5804,E,12
N,5804,I,16
N,5804,L,11
N,5804,O,8
N,5804,P,2
N,5804,Q,18
N,5804,S,2
N,5804,T,5
N,5804,V,19
N,5804,Z,1
N,6101,C,742
N,6101,D,10
N,6101,E,35
N,6101,G,4
N,6101,I,36
N,6101,L,28
N,6101,M,2
N,6101,O,95
N,6101,P,4
N,6101,Q,53
N,6101,S,3
N,6101,T,6
N,6101,V,48
N,6101,Z,8
N,6102,C,24
N,6102,D,2
N,6102,E,1
N,6102,I,3
N,6102,L,3
N,6102,O,3
N,6102,P,1
N,6102,Q,4
N,6103,C,9
N,6103,D,2
N,6103,E,2
N,6103,I,2
N,6103,L,1
N,6103,Q,3
N,6103,S,1
N,6104,C,25
N,6104,D,4
N,6104,E,5
N,6104,I,3
N,6104,L,2
N,6104,O,2
N,6104,Q,5
N,6104,S,2
N,6104,V,4
N,6104,Z,1
N,6105,C,41
N,6105,D,4
N,6105,E,4
N,6105,I,3
N,6105,L,2
N,6105,O,4
N,6105,P,2
N,6105,Q,5
N,6105,T,1
N,6105,V,7
N,6106,C,91
N,6106,D,5
N,6106,E,11
N,6106,G,2
N,6106,I,9
N,6106,L,6
N,6106,O,7
N,6106,P,2
N,6106,Q,3
N,6106,T,1
N,6106,V,2
N,6107,C,99
N,6107,D,4
N,6107,E,9
N,6107,L,5
N,6107,O,4
N,6107,P,4
N,6107,Q,8
N,6107,V,14
N,6107,W,1
N,6108,C,78
N,6108,D,8
N,6108,E,4
N,6108,I,4
N,6108,L,5
N,6108,O,6
N,6108,Q,4
N,6108,V,99
N,6108,Z,1
N,6109,C,24
N,6109,E,6
N,6109,I,4
N,6109,L,5
N,6109,O,1
N,6109,P,1
N,6109,Q,6
N,6109,V,5
N,6110,C,76
N,6110,D,6
N,6110,E,11
N,6110,I,5
N,6110,L,3
N,6110,O,2
N,6110,P,1
N,6110,Q,8
N,6110,T,1
N,6110,V,2
N,6111,C,29
N,6111,D,1
N,6111,E,2
N,6111,I,14
N,6111,L,5
N,6111,O,3
N,6111,Q,5
N,6111,V,1
N,6111,Z,2
N,6112,C,31
N,6112,D,1
N,6112,E,4
N,6112,I,2
N,6112,L,6
N,6112,O,2
N,6112,S,1
N,6112,V,2
N,6112,Z,1
N,6113,C,39
N,6113,E,5
N,6113,I,1
N,6113,O,2
N,6113,P,1
N,6113,Q,6
N,6113,S,3
N,6113,V,3
N,6114,C,30
N,6114,D,2
N,6114,E,3
N,6114,I,3
N,6114,L,2
N,6114,O,4
N,6114,Q,3
N,6114,V,2
N,6115,C,172
N,6115,D,3
N,6115,E,13
N,6115,G,3
N,6115,I,12
N,6115,L,7
N,6115,O,12
N,6115,P,1
N,6115,Q,19
N,6115,S,2
N,6115,T,1
N,6115,V,17
N,6116,C,85
N,6116,D,4
N,6116,E,8
N,6116,I,19
N,6116,L,8
N,6116,O,2
N,6116,P,1
N,6116,Q,6
N,6116,T,5
N,6116,V,34
N,6117,C,165
N,6117,D,2
N,6117,E,9
N,6117,G,1
N,6117,I,7
N,6117,L,4
N,6117,O,15
N,6117,Q,9
N,6117,V,7
N,6117,Z,1
N,6201,C,164
N,6201,D,1
N,6201,E,5
N,6201,G,28
N,6201,I,2
N,6201,L,3
N,6201,O,4
N,6201,P,3
N,6201,Q,5
N,6201,T,2
N,6201,V,10
N,6202,C,13
N,6202,E,3
N,6202,I,1
N,6202,O,1
N,6202,S,1
N,6203,C,31
N,6203,E,1
N,6203,I,3
N,6203,L,3
N,6203,M,1
N,6203,O,3
N,6203,Q,3
N,6203,S,2
N,6203,V,82
N,6204,C,29
N,6204,E,6
N,6204,G,2
N,6204,I,3
N,6204,O,2
N,6204,P,1
N,6204,V,2
N,6205,C,28
N,6205,D,1
N,6205,E,10
N,6205,G,2
N,6205,O,2
N,6205,Q,1
N,6205,S,1
N,6205,V,1
N,6206,C,26
N,6206,E,5
N,6206,I,1
N,6206,P,1
N,6206,V,4
N,6301,C,277
N,6301,D,9
N,6301,E,13
N,6301,G,4
N,6301,I,25
N,6301,L,17
N,6301,M,1
N,6301,O,19
N,6301,P,5
N,6301,Q,23
N,6301,S,5
N,6301,T,3
N,6301,V,31
N,6301,Z,5
N,6302,C,20
N,6302,D,1
N,6302,E,5
N,6302,G,1
N,6302,L,2
N,6302,P,1
N,6302,Q,3
N,6302,S,2
N,6302,V,2
N,6303,C,74
N,6303,D,1
N,6303,E,15
N,6303,I,5
N,6303,L,3
N,6303,O,3
N,6303,P,2
N,6303,Q,13
N,6303,V,5
N,6304,C,8
N,6304,E,4
N,6304,G,2
N,6304,I,2
N,6304,L,1
N,6304,S,1
N,6304,V,1
N,6305,C,45
N,6305,D,1
N,6305,E,8
N,6305,I,5
N,6305,L,2
N,6305,O,2
N,6305,P,2
N,6305,Q,3
N,6305,S,1
N,6305,V,6
N,6306,C,14
N,6306,E,3
N,6306,G,2
N,6306,I,1
N,6306,L,1
N,6306,O,2
N,6306,Q,2
N,6306,S,1
N,6306,V,2
N,6307,C,42
N,6307,D,1
N,6307,E,3
N,6307,I,2
N,6307,O,3
N,6307,Q,2
N,6307,S,2
N,6307,V,2
N,6308,C,24
N,6308,D,1
N,6308,E,7
N,6308,I,4
N,6308,T,1
N,6308,V,2
N,6309,C,11
N,6309,D,1
N,6309,E,5
N,6309,L,1
N,6309,O,1
N,6309,P,1
N,6309,Q,1
N,6309,S,1
N,6309,V,2
N,6310,C,156
N,6310,D,2
N,6310,E,11
N,6310,G,3
N,6310,I,4
N,6310,L,9
N,6310,O,9
N,6310,P,4
N,6310,Q,8
N,6310,S,5
N,6310,T,1
N,6310,V,3
N,6310,Z,1
N,7101,C,660
N,7101,D,11
N,7101,E,45
N,7101,G,10
N,7101,I,54
N,7101,L,72
N,7101,O,155
N,7101,P,6
N,7101,Q,52
N,7101,S,5
N,7101,T,4
N,7101,V,55
N,7101,Z,6
N,7102,C,176
N,7102,D,3
N,7102,E,3
N,7102,G,4
N,7102,I,27
N,7102,L,6
N,7102,O,14
N,7102,P,2
N,7102,Q,5
N,7102,S,3
N,7102,T,1
N,7102,V,12
N,7102,Z,1
N,7103,C,11
N,7103,E,4
N,7103,O,3
N,7103,P,2
N,7103,Q,5
N,7103,S,1
N,7103,V,2
N,7104,C,2
N,7104,E,1
N,7104,Q,1
N,7105,C,37
N,7105,D,2
N,7105,E,8
N,7105,G,1
N,7105,I,10
N,7105,O,1
N,7105,P,1
N,7105,Q,10
N,7105,T,1
N,7105,V,8
N,7106,C,5
N,7106,I,1
N,7106,O,2
N,7106,P,1
N,7106,Q,3
N,7106,T,1
N,7106,V,2
N,7107,C,8
N,7107,E,1
N,7107,I,2
N,7107,P,1
N,7107,Q,2
N,7107,S,2
N,7107,V,2
N,7108,C,7
N,7108,E,3
N,7108,I,3
N,7108,Q,1
N,7108,V,4
N,7109,C,63
N,7109,D,1
N,7109,E,12
N,7109,I,4
N,7109,L,2
N,7109,O,3
N,7109,P,3
N,7109,Q,6
N,7109,S,1
N,7109,V,22
N,7110,C,8
N,7110,E,3
N,7110,I,1
N,7110,O,1
N,7110,P,1
N,7110,Q,3
N,7110,V,6
N,7201,C,138
N,7201,D,2
N,7201,E,19
N,7201,I,9
N,7201,L,10
N,7201,O,16
N,7201,P,8
N,7201,Q,6
N,7201,T,1
N,7201,V,5
N,7201,W,1
N,7201,Z,1
N,7202,C,17
N,7202,E,1
N,7202,I,1
N,7202,O,1
N,7202,Q,2
N,7202,V,3
N,7203,C,87
N,7203,E,1
N,7203,G,6
N,7203,L,1
N,7203,O,2
N,7203,P,3
N,7203,Q,3
N,7203,W,2
N,7301,C,367
N,7301,D,4
N,7301,E,14
N,7301,G,5
N,7301,I,62
N,7301,L,41
N,7301,O,46
N,7301,P,6
N,7301,Q,25
N,7301,S,1
N,7301,T,3
N,7301,V,27
N,7301,Z,14
N,7302,C,55
N,7302,I,3
N,7302,L,4
N,7302,O,5
N,7302,P,1
N,7302,Q,3
N,7302,V,1
N,7303,C,48
N,7303,G,13
N,7303,I,2
N,7303,L,2
N,7303,O,4
N,7303,Q,5
N,7303,V,2
N,7304,C,127
N,7304,D,2
N,7304,E,9
N,7304,G,3
N,7304,I,16
N,7304,L,9
N,7304,O,9
N,7304,P,3
N,7304,Q,16
N,7304,S,2
N,7304,T,1
N,7304,V,21
N,7305,C,11
N,7305,D,1
N,7305,E,4
N,7305,G,2
N,7305,I,3
N,7305,L,1
N,7305,O,1
N,7305,Q,2
N,7305,S,1
N,7305,V,2
N,7306,C,26
N,7306,D,1
N,7306,E,6
N,7306,G,1
N,7306,I,21
N,7306,L,9
N,7306,O,2
N,7306,P,3
N,7306,Q,3
N,7306,S,1
N,7306,V,1
N,7307,C,59
N,7307,D,2
N,7307,E,2
N,7307,I,9
N,7307,L,2
N,7307,O,1
N,7307,P,2
N,7307,Q,2
N,7307,S,2
N,7307,V,6
N,7308,C,68
N,7308,E,2
N,7308,I,9
N,7308,L,3
N,7308,O,4
N,7308,P,1
N,7308,Q,4
N,7308,S,2
N,7308,T,1
N,7308,V,3
N,7309,C,18
N,7309,E,2
N,7309,G,6
N,7309,I,1
N,7309,L,2
N,7309,Q,1
N,7309,V,1
N,7309,Z,1
N,7401,C,339
N,7401,D,1
N,7401,E,19
N,7401,G,4
N,7401,I,19
N,7401,L,11
N,7401,O,60
N,7401,P,7
N,7401,Q,31
N,7401,S,9
N,7401,T,2
N,7401,V,32
N,7401,Z,1
N,7402,C,31
N,7402,E,2
N,7402,G,2
N,7402,I,1
N,7402,O,5
N,7402,P,1
N,7402,Q,2
N,7402,S,2
N,7402,V,2
N,7403,C,49
N,7403,E,6
N,7403,I,1
N,7403,L,1
N,7403,O,4
N,7403,Q,7
N,7403,V,5
N,7404,C,171
